stop_name,line,mode,seq_on_line,node_id,canonical,is_interchange,node_type
CSMT,Central Railway Main,CR_Train,1,N0001,CSMT / Mumbai CSMT,True,interchange
Masjid,Central Railway Main,CR_Train,1,N0002,Masjid,True,interchange
Byculla,Central Railway Main,CR_Train,1,N0003,Byculla,False,stop
Parel,Central Railway Main,CR_Train,1,N0004,Parel / Lower Parel,True,interchange
Dadar,Central Railway Main,CR_Train,1,N0005,Dadar,True,interchange
Kurla,Central Railway Main,CR_Train,1,N0006,Kurla,True,interchange
Vidyavihar,Central Railway Main,CR_Train,1,N0007,Vidyavihar,False,stop
Ghatkopar,Central Railway Main,CR_Train,1,N0008,Ghatkopar,True,interchange
Thane,Central Railway Main,CR_Train,1,N0009,Thane,True,interchange
Dombivli,Central Railway Main,CR_Train,1,N0010,Dombivli,False,stop
Kalyan,Central Railway Main,CR_Train,1,N0011,Kalyan,False,stop
Ambernath,Central Railway Main,CR_Train,1,N0012,Ambernath,False,stop
Titwala,Central Railway Main,CR_Train,1,N0013,Titwala,False,stop
Asangaon,Central Railway Main,CR_Train,1,N0014,Asangaon,False,stop
Khardi,Central Railway Main,CR_Train,1,N0015,Khardi,False,stop
Kasara,Central Railway Main,CR_Train,1,N0016,Kasara,False,stop
Badlapur,Central Railway Main,CR_Train,1,N0017,Badlapur,False,stop
Neral,Central Railway Main,CR_Train,1,N0018,Neral,False,stop
Karjat,Central Railway Main,CR_Train,1,N0019,Karjat,False,stop
Palasdhari,Central Railway Main,CR_Train,1,N0020,Palasdhari,False,stop
Khopoli,Central Railway Main,CR_Train,1,N0021,Khopoli,False,stop
Sandhurst Road,Central Railway Main,CR_Train,2,N0022,Sandhurst Road,True,interchange
Matunga,Central Railway Main,CR_Train,2,N0023,Matunga,False,stop
Sion,Central Railway Main,CR_Train,2,N0024,Sion,False,stop
Mulund,Central Railway Main,CR_Train,2,N0025,Mulund,False,stop
Kalva,Central Railway Main,CR_Train,2,N0026,Kalva,False,stop
Kopar,Central Railway Main,CR_Train,2,N0027,Kopar,False,stop
Thakurli,Central Railway Main,CR_Train,2,N0028,Thakurli,False,stop
Ulhas Nagar,Central Railway Main,CR_Train,2,N0029,Ulhas Nagar,False,stop
Shahad,Central Railway Main,CR_Train,2,N0030,Shahad,False,stop
Ambivli,Central Railway Main,CR_Train,2,N0031,Ambivli,False,stop
Vasind,Central Railway Main,CR_Train,2,N0032,Vasind,False,stop
Shelu,Central Railway Main,CR_Train,2,N0033,Shelu,False,stop
Bhivpuri Road,Central Railway Main,CR_Train,2,N0034,Bhivpuri Road,False,stop
Kelavli,Central Railway Main,CR_Train,2,N0035,Kelavli,False,stop
Lowjee,Central Railway Main,CR_Train,2,N0036,Lowjee,False,stop
Vikhroli,Central Railway Main,CR_Train,3,N0037,Vikhroli,False,stop
Bhandup,Central Railway Main,CR_Train,3,N0038,Bhandup,False,stop
Nahur,Central Railway Main,CR_Train,3,N0039,Nahur,False,stop
Mumbra,Central Railway Main,CR_Train,3,N0040,Mumbra,False,stop
Diva,Central Railway Main,CR_Train,3,N0041,Diva,False,stop
