from_stop,to_stop,line,mode,direction,median_travel_min,min_travel_min,max_travel_min,sample_count,from_node_id,to_node_id,edge_type,est_dist_km,est_fare_inr,canonical_interchange,from_line,to_line,edge_id,daily_trips,freq_per_hour,reliability_proxy
AIROLI,Digha Gaon,Trans-Harbour Line,CR_Train,Up,3.0,3.0,3.0,131,N0158,N0154,in_vehicle,2.0,5,,,,E00001,131.0,7.28,0.216
AIROLI,RABALE,Trans-Harbour Line,CR_Train,Down,3.0,3.0,4.0,131,N0158,N0162,in_vehicle,2.0,5,,,,E00002,131.0,7.28,0.216
ANDHERI,BANDRA,Western Railway,WR_Train,Up,9.0,8.0,11.0,203,N0178,N0176,in_vehicle,6.0,10,,,,E00003,585.0,32.5,0.962
ANDHERI,BORIVALI,Western Railway,WR_Train,Down,14.0,10.0,1425.0,188,N0178,N0181,in_vehicle,9.33,15,,,,E00004,608.0,33.78,1.0
ANDHERI,Jogeshwari,Western Railway,WR_Train,Down,3.0,3.0,1437.0,336,N0178,N0190,in_vehicle,2.0,5,,,,E00005,608.0,33.78,1.0
ANDHERI,Malad,Western Railway,WR_Train,Down,10.0,7.0,12.0,5,N0178,N0180,in_vehicle,6.67,15,,,,E00006,608.0,33.78,1.0
ANDHERI,Vile Parle,Western Railway,WR_Train,Up,4.0,3.0,893.0,275,N0178,N0189,in_vehicle,2.67,5,,,,E00007,585.0,32.5,0.962
Aarey (JVLR),Dindoshi,Metro Line 7 (Red),Metro,Up,2.0,2.0,2.0,134,N0148,N0150,in_vehicle,1.17,10,,,,E00008,134.0,7.44,0.22
Aarey (JVLR),Goregaon East,Metro Line 7 (Red),Metro,Down,3.0,3.0,3.0,134,N0148,N0146,in_vehicle,1.75,10,,,,E00009,134.0,7.44,0.22
Aarey JVLR,SEEPZ,Metro Line 3 (Aqua),Metro,Down,2.0,2.0,2.0,165,N0114,N0116,in_vehicle,1.17,10,,,,E00010,165.0,9.17,0.271
Acharya Atre Chowk,Nehru Science Centre,Metro Line 3 (Aqua),Metro,Down,2.0,2.0,2.0,165,N0137,N0135,in_vehicle,1.17,10,,,,E00011,165.0,9.17,0.271
Acharya Atre Chowk,Worli,Metro Line 3 (Aqua),Metro,Up,2.0,2.0,2.0,165,N0137,N0139,in_vehicle,1.17,10,,,,E00012,165.0,9.17,0.271
Airport Road,Chakala (J.B. Nagar),Metro Line 1 (Blue),Metro,Up,2.0,2.0,1438.0,202,N0096,N0095,in_vehicle,1.17,10,,,,E00013,202.0,11.22,0.332
Airport Road,Marol Naka,Metro Line 1 (Blue),Metro,Down,2.0,2.0,2.0,199,N0096,N0094,in_vehicle,1.17,10,,,,E00014,199.0,11.06,0.327
Akurli,Kurar,Metro Line 7 (Red),Metro,Down,2.0,2.0,2.0,134,N0153,N0152,in_vehicle,1.17,10,,,,E00015,134.0,7.44,0.22
Akurli,Poisar,Metro Line 7 (Red),Metro,Up,2.0,2.0,2.0,134,N0153,N0151,in_vehicle,1.17,10,,,,E00016,134.0,7.44,0.22
Ambernath,Badlapur,Central Railway Main,CR_Train,Down,8.0,7.0,10.0,73,N0012,N0017,in_vehicle,5.33,10,,,,E00017,450.0,25.0,0.74
Ambernath,Ulhas Nagar,Central Railway Main,CR_Train,Up,4.0,4.0,8.0,107,N0012,N0029,in_vehicle,2.67,5,,,,E00018,419.0,23.28,0.689
Ambivli,Shahad,Central Railway Main,CR_Train,Up,3.0,3.0,4.0,73,N0031,N0030,in_vehicle,2.0,5,,,,E00019,419.0,23.28,0.689
Ambivli,Titwala,Central Railway Main,CR_Train,Down,7.0,6.0,10.0,76,N0031,N0013,in_vehicle,4.67,10,,,,E00020,450.0,25.0,0.74
Andheri,Azad Nagar,Metro Line 1 (Blue),Metro,Up,2.0,2.0,2.0,202,N0091,N0089,in_vehicle,1.17,10,,,,E00021,202.0,11.22,0.332
Andheri,Jogeshwari,Harbour Line CSMT,CR_Train,Down,4.0,4.0,4.0,55,N0081,N0078,in_vehicle,2.67,5,,,,E00022,351.0,19.5,0.577
Andheri,Vileparle,Harbour Line CSMT,CR_Train,Up,4.0,3.0,5.0,69,N0081,N0083,in_vehicle,2.67,5,,,,E00023,355.0,19.72,0.584
Andheri,Western Express Highway,Metro Line 1 (Blue),Metro,Down,2.0,2.0,2.0,199,N0091,N0093,in_vehicle,1.17,10,,,,E00024,199.0,11.06,0.327
Andheri West,Lower Juhu,Metro Line 2A (Yellow),Metro,Down,2.0,2.0,2.0,134,N0102,N0100,in_vehicle,1.17,10,,,,E00025,134.0,7.44,0.22
Andheri West,Lower Oshiwara,Metro Line 2A (Yellow),Metro,Up,2.0,2.0,2.0,134,N0102,N0104,in_vehicle,1.17,10,,,,E00026,134.0,7.44,0.22
Asalpha,Jagruti Nagar,Metro Line 1 (Blue),Metro,Down,2.0,2.0,2.0,199,N0090,N0088,in_vehicle,1.17,10,,,,E00027,199.0,11.06,0.327
Asalpha,Saki Naka,Metro Line 1 (Blue),Metro,Up,2.0,2.0,2.0,202,N0090,N0092,in_vehicle,1.17,10,,,,E00028,202.0,11.22,0.332
Asangaon,Atgaon,Central Railway Main,CR_Train,Down,9.0,9.0,9.0,18,N0014,N0044,in_vehicle,6.0,10,,,,E00029,450.0,25.0,0.74
Asangaon,Vasind,Central Railway Main,CR_Train,Up,8.0,6.0,10.0,37,N0014,N0032,in_vehicle,5.33,10,,,,E00030,419.0,23.28,0.689
Atgaon,Asangaon,Central Railway Main,CR_Train,Up,10.0,9.0,17.0,18,N0044,N0014,in_vehicle,6.67,15,,,,E00031,419.0,23.28,0.689
Atgaon,Khardi,Central Railway Main,CR_Train,Down,10.0,10.0,10.0,18,N0044,N0015,in_vehicle,6.67,15,,,,E00032,450.0,25.0,0.74
Azad Nagar,Andheri,Metro Line 1 (Blue),Metro,Down,2.0,2.0,2.0,199,N0089,N0091,in_vehicle,1.17,10,,,,E00033,199.0,11.06,0.327
Azad Nagar,D.N. Nagar,Metro Line 1 (Blue),Metro,Up,2.0,2.0,2.0,202,N0089,N0087,in_vehicle,1.17,10,,,,E00034,202.0,11.22,0.332
BANDRA,ANDHERI,Western Railway,WR_Train,Down,9.0,7.0,13.0,194,N0176,N0178,in_vehicle,6.0,10,,,,E00035,608.0,33.78,1.0
BANDRA,DADAR,Western Railway,WR_Train,Up,6.0,5.0,1434.0,208,N0176,N0175,in_vehicle,4.0,10,,,,E00036,585.0,32.5,0.962
BANDRA,Goregaon,Western Railway,WR_Train,Down,16.5,15.0,17.0,4,N0176,N0179,in_vehicle,11.0,15,,,,E00037,608.0,33.78,1.0
BANDRA,Khar Road,Western Railway,WR_Train,Down,3.0,3.0,1436.0,288,N0176,N0177,in_vehicle,2.0,5,,,,E00038,608.0,33.78,1.0
BANDRA,Mahim Jn.,Western Railway,WR_Train,Up,3.0,3.0,897.0,275,N0176,N0187,in_vehicle,2.0,5,,,,E00039,585.0,32.5,0.962
Belapur CBD,Kharghar,Trans-Harbour Line,CR_Train,Down,4.0,4.0,4.0,37,N0167,N0164,in_vehicle,2.67,5,,,,E00040,131.0,7.28,0.216
Belapur CBD,Seawoods-Darave,Trans-Harbour Line,CR_Train,Up,4.0,4.0,4.0,37,N0167,N0168,in_vehicle,2.67,5,,,,E00041,131.0,7.28,0.216
BORIVALI,ANDHERI,Western Railway,WR_Train,Up,14.0,11.0,1424.0,187,N0181,N0178,in_vehicle,9.33,15,,,,E00042,585.0,32.5,0.962
BORIVALI,Bhayandar,Western Railway,WR_Train,Down,11.0,8.0,49.0,25,N0181,N0182,in_vehicle,7.33,15,,,,E00043,608.0,33.78,1.0
