distance_km,fare_new_normal,fare_new_midnight
1.5,26,32
1.6,27,34
1.7,29,36
1.8,31,39
1.9,33,41
2,34,43
2.1,36,45
2.2,38,47
2.3,39,49
2.4,41,51
2.5,43,54
2.6,45,56
2.7,46,58
2.8,48,60
2.9,50,62
3,51,64
3.1,53,66
3.2,55,69
3.3,57,71
3.4,58,73
3.5,60,75
3.6,62,77
3.7,63,79
3.8,65,81
3.9,67,84
4,69,86
4.1,70,88
4.2,72,90
4.3,74,92
4.4,75,94
4.5,77,96
4.6,79,99
4.7,81,101
4.8,82,103
4.9,84,105
5,86,107
5.1,87,109
5.2,89,111
5.3,91,114
5.4,93,116
5.5,94,118
5.6,96,120
5.7,98,122
5.8,99,124
5.9,101,126
6,103,129
6.1,105,131
6.2,106,133
6.3,108,135
6.4,110,137
6.5,111,139
6.6,113,141
6.7,115,144
6.8,117,146
6.9,118,148
7,120,150
7.1,122,152
7.2,123,154
7.3,125,156
7.4,127,159
7.5,129,161
7.6,130,163
7.7,132,165
7.8,134,167
7.9,135,169
8,137,171
8.1,139,174
8.2,141,176
8.3,142,178
8.4,144,180
8.5,146,182
8.6,147,184
8.7,149,186
8.8,151,189
8.9,153,191
9,154,193
9.1,156,195
9.2,158,197
9.3,159,199
9.4,161,201
9.5,163,204
9.6,165,206
9.7,166,208
9.8,168,210
9.9,170,212
10,171,214
10.1,173,216
10.2,175,219
10.3,177,221
10.4,178,223
10.5,180,225
10.6,182,227
10.7,183,229
10.8,185,231
10.9,187,234
11,189,236
11.1,190,238
11.2,192,240
11.3,194,242
11.4,195,244
11.5,197,246
11.6,199,249
11.7,201,251
11.8,202,253
11.9,204,255
12,206,257
12.1,207,259
12.2,209,261
12.3,211,264
12.4,213,266
12.5,214,268
12.6,216,270
12.7,218,272
12.8,219,274
12.9,221,276
13,223,279
13.1,225,281
13.2,226,283
13.3,228,285
13.4,230,287
13.5,231,289
13.6,233,291
13.7,235,294
13.8,237,296
13.9,238,298
14,240,300
14.1,242,302
14.2,243,304
14.3,245,306
14.4,247,309
14.5,249,311
14.6,250,313
14.7,252,315
14.8,254,317
14.9,255,319
15,257,321
15.1,259,324
15.2,261,326
15.3,262,328
15.4,264,330
15.5,266,332
15.6,267,334
15.7,269,336
15.8,271,339
15.9,273,341
16,274,343
16.1,276,345
16.2,278,347
16.3,279,349
16.4,281,351
16.5,283,354
16.6,285,356
16.7,286,358
16.8,288,360
16.9,290,362
17,291,364
17.1,293,366
17.2,295,369
17.3,297,371
17.4,298,373
17.5,300,375
17.6,302,377
17.7,303,379
17.8,305,381
17.9,307,384
18,309,386
18.1,310,388
18.2,312,390
18.3,314,392
18.4,315,394
18.5,317,396
18.6,319,399
18.7,321,401
18.8,322,403
18.9,324,405
19,326,407
19.1,327,409
19.2,329,411
19.3,331,414
19.4,333,416
19.5,334,418
19.6,336,420
19.7,338,422
19.8,339,424
19.9,341,426
20,343,429
20.1,345,431
20.2,346,433
20.3,348,435
20.4,350,437
20.5,351,439
20.6,353,441
20.7,355,443
20.8,357,446
20.9,358,448
21,360,450
21.1,362,452
21.2,363,454
21.3,365,456
21.4,367,458
21.5,369,461
21.6,370,463
21.7,372,465
21.8,374,467
21.9,375,469
22,377,471
22.1,379,473
22.2,381,476
22.3,382,478
22.4,384,480
22.5,386,482
22.6,387,484
22.7,389,486
22.8,391,488
22.9,393,491
23,394,493
23.1,396,495
23.2,398,497
23.3,399,499
23.4,401,501
23.5,403,503
23.6,405,506
23.7,406,508
23.8,408,510
23.9,410,512
24,411,514
24.1,413,516
24.2,415,518
24.3,417,521
24.4,418,523
24.5,420,525
24.6,422,527
24.7,423,529
24.8,425,531
24.9,427,533
25,429,536
25.1,430,538
25.2,432,540
25.3,434,542
25.4,435,544
25.5,437,546
25.6,439,548
25.7,440,551
25.8,442,553
25.9,444,555
26,446,557
26.1,447,559
26.2,449,561
26.3,451,563
26.4,452,566
26.5,454,568
26.6,456,570
26.7,458,572
26.8,459,574
26.9,461,576
27,463,578
27.1,464,581
27.2,466,583
27.3,468,585
27.4,470,587
27.5,471,589
27.6,473,591
27.7,475,593
27.8,476,596
27.9,478,598
28,480,600
28.1,482,602
28.2,483,604
28.3,485,606
28.4,487,608
28.5,488,611
28.6,490,613
28.7,492,615
28.8,494,617
28.9,495,619
29,497,621
29.1,499,623
29.2,500,626
29.3,502,628
29.4,504,630
29.5,506,632
29.6,507,634
29.7,509,636
29.8,511,638
29.9,512,641
30,514,643
