distance_km,fare_new_normal,fare_new_midnight
1.5,31,39
1.6,33,41
1.7,35,44
1.8,37,46
1.9,39,49
2,41,52
2.1,43,54
2.2,45,57
2.3,48,59
2.4,50,62
2.5,52,65
2.6,54,67
2.7,56,70
2.8,58,72
2.9,60,75
3,62,77
3.1,64,80
3.2,66,83
3.3,68,85
3.4,70,88
3.5,72,90
3.6,74,93
3.7,76,96
3.8,79,98
3.9,81,101
4,83,103
4.1,85,106
4.2,87,108
4.3,89,111
4.4,91,114
4.5,93,116
4.6,95,119
4.7,97,121
4.8,99,124
4.9,101,127
5,103,129
5.1,105,132
5.2,107,134
5.3,109,137
5.4,112,139
5.5,114,142
5.6,116,145
5.7,118,147
5.8,120,150
5.9,122,152
6,124,155
6.1,126,158
6.2,128,160
6.3,130,163
6.4,132,165
6.5,134,168
6.6,136,170
6.7,138,173
6.8,140,176
6.9,143,178
7,145,181
7.1,147,183
7.2,149,186
7.3,151,189
7.4,153,191
7.5,155,194
7.6,157,196
7.7,159,199
7.8,161,201
7.9,163,204
8,165,207
8.1,167,209
8.2,169,212
8.3,171,214
8.4,174,217
8.5,176,220
8.6,178,222
8.7,180,225
8.8,182,227
8.9,184,230
9,186,232
9.1,188,235
9.2,190,238
9.3,192,240
9.4,194,243
9.5,196,245
9.6,198,248
9.7,200,251
9.8,202,253
9.9,205,256
10,207,258
10.1,209,261
10.2,211,263
10.3,213,266
10.4,215,269
10.5,217,271
10.6,219,274
10.7,221,276
10.8,223,279
10.9,225,281
11,227,284
11.1,229,287
11.2,231,289
11.3,233,292
11.4,236,294
11.5,238,297
11.6,240,300
11.7,242,302
11.8,244,305
11.9,246,307
12,248,310
12.1,250,312
12.2,252,315
12.3,254,318
12.4,256,320
12.5,258,323
12.6,260,325
12.7,262,328
12.8,264,331
12.9,267,333
13,269,336
13.1,271,338
13.2,273,341
13.3,275,343
13.4,277,346
13.5,279,349
13.6,281,351
13.7,283,354
13.8,285,356
13.9,287,359
14,289,362
14.1,291,364
14.2,293,367
14.3,295,369
14.4,298,372
14.5,300,374
14.6,302,377
14.7,304,380
14.8,306,382
14.9,308,385
15,310,387
15.1,312,390
15.2,314,393
15.3,316,395
15.4,318,398
15.5,320,400
15.6,322,403
15.7,324,405
15.8,326,408
15.9,328,411
16,331,413
16.1,333,416
16.2,335,418
16.3,337,421
16.4,339,424
16.5,341,426
16.6,343,429
16.7,345,431
16.8,347,434
16.9,349,436
17,351,439
17.1,353,442
17.2,355,444
17.3,357,447
17.4,359,449
17.5,362,452
17.6,364,455
17.7,366,457
17.8,368,460
17.9,370,462
18,372,465
18.1,374,467
18.2,376,470
18.3,378,473
18.4,380,475
18.5,382,478
18.6,384,480
18.7,386,483
18.8,388,486
18.9,390,488
19,393,491
19.1,395,493
19.2,397,496
19.3,399,498
19.4,401,501
19.5,403,504
19.6,405,506
19.7,407,509
19.8,409,511
19.9,411,514
20,413,517
20.1,415,519
20.2,417,522
20.3,419,524
20.4,421,527
20.5,424,529
20.6,426,532
20.7,428,535
20.8,430,537
20.9,432,540
21,434,542
21.1,436,545
21.2,438,547
21.3,440,550
21.4,442,553
21.5,444,555
21.6,446,558
21.7,448,560
21.8,450,563
21.9,452,566
22,455,568
22.1,457,571
22.2,459,573
22.3,461,576
22.4,463,578
22.5,465,581
22.6,467,584
22.7,469,586
22.8,471,589
22.9,473,591
23,475,594
23.1,477,597
23.2,479,599
23.3,481,602
23.4,483,604
23.5,486,607
23.6,488,609
23.7,490,612
23.8,492,615
23.9,494,617
24,496,620
24.1,498,622
24.2,500,625
24.3,502,628
24.4,504,630
24.5,506,633
24.6,508,635
24.7,510,638
24.8,512,640
24.9,514,643
25,517,646
25.1,519,648
25.2,521,651
25.3,523,653
25.4,525,656
25.5,527,659
25.6,529,661
25.7,531,664
25.8,533,666
25.9,535,669
26,537,671
26.1,539,674
26.2,541,677
26.3,543,679
26.4,545,682
26.5,547,684
26.6,550,687
26.7,552,690
26.8,554,692
26.9,556,695
27,558,697
27.1,560,700
27.2,562,702
27.3,564,705
27.4,566,708
27.5,568,710
27.6,570,713
27.7,572,715
27.8,574,718
27.9,576,721
28,578,723
28.1,581,726
28.2,583,728
28.3,585,731
28.4,587,733
28.5,589,736
28.6,591,739
28.7,593,741
28.8,595,744
28.9,597,746
29,599,749
29.1,601,752
29.2,603,754
29.3,605,757
29.4,607,759
29.5,609,762
29.6,612,764
29.7,614,767
29.8,616,770
29.9,618,772
30,620,775
